id,trade_date,trade_type,account,name,asset_class,quantity,price,currency
103,2025-08-05,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,8.0,11775.0,KRW
104,2025-09-02,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,8.0,12240.0,KRW
105,2025-10-10,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,9.0,12175.0,KRW
106,2025-11-05,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,8.0,12160.0,KRW
107,2025-12-02,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,8.0,12745.0,KRW
108,2025-12-29,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,1.0,12965.0,KRW
109,2026-01-06,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,8.0,12690.0,KRW
110,2026-02-05,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,7.0,13785.0,KRW
111,2026-03-05,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,7.0,14685.0,KRW
112,2026-04-03,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,7.0,14710.0,KRW
113,2026-04-10,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,1.0,14485.0,KRW
114,2026-05-07,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,6.0,14865.0,KRW
115,2026-06-05,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,7.0,15410.0,KRW
116,2026-07-03,매수,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,7.0,15560.0,KRW
117,2026-07-05,단가 보정,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,0.0,-2322.5789473690093,KRW
118,2026-07-05,단가 보정,연금저축,458730.KS (TIGER 미국배당다우존스),주식/ETF,0.0,591.0,KRW
119,2026-07-05,매수,퇴직연금(IRP/DC),133690.KS (TIGER 미국나스닥100),주식/ETF,20.0,205700.0,KRW
120,2026-07-05,매수,퇴직연금(IRP/DC),458730.KS (TIGER 미국배당다우존스),주식/ETF,70.0,15895.0,KRW
121,2026-07-05,매수,퇴직연금(IRP/DC),0173Y0.KS (미국AI광통신),주식/ETF,74.0,16075.0,KRW
122,2026-07-05,매수,퇴직연금(IRP/DC),435420.KS (나스닥채권혼합),주식/ETF,184.0,14950.0,KRW
